Dataset,Domain,Baseline,Gen3_Score,Gen3_Prompt,Gen4_Score,Gen4_Prompt,Gen5_Score,Gen5_Prompt,Gen6_Score,Gen6_Prompt,Gen7_Score,Gen7_Prompt,Gen8_Score,Gen8_Prompt,Gen9_Score,Gen9_Prompt,Final_Improvement
AILACasedocs,Legal,47.49,47.49,(baseline),47.49,(baseline),47.49,(baseline),47.49,(baseline),47.53,Law query:,47.79,Court request:,47.79,Court request:,+0.30%
AILAStatutes,Legal,54.35,55.97,Instruct: Match the provided context with accurate legal provisions Query:,56.26,Instruct: Match context with the best-fitting legal statute provisions Query:,56.26,Instruct: Match context with the best-fitting legal statute provisions Query:,56.26,Instruct: Match context with the best-fitting legal statute provisions Query:,56.26,Instruct: Match context with the best-fitting legal statute provisions Query:,56.26,Instruct: Match context with the best-fitting legal statute provisions Query:,56.26,Instruct: Match context with the best-fitting legal statute provisions Query:,+1.91%
ChatDoctorRetrieval,Medical,77.20,77.20,(baseline),77.20,(baseline),77.20,(baseline),77.39,Clarify medically with comprehensive effective responses,77.39,Clarify medically with comprehensive effective responses,77.39,Clarify medically with comprehensive effective responses,77.39,Clarify medically with comprehensive effective responses,+0.19%
DS1000Retrieval,Code,71.19,71.23,For computational tasks retrieve scripts using scipy and numpy,71.23,For computational tasks retrieve scripts using scipy and numpy,71.23,For computational tasks retrieve scripts using scipy and numpy,71.23,For computational tasks retrieve scripts using scipy and numpy,71.23,For computational tasks retrieve scripts using scipy and numpy,71.23,For computational tasks retrieve scripts using scipy and numpy,71.28,Instruct: Efficiently fetch Python data scripts using numpy Query:,+0.09%
FinQARetrieval,Finance,88.99,88.99,(baseline),88.99,(baseline),88.99,(baseline),88.99,(baseline),88.99,(baseline),88.99,(baseline),88.99,(baseline),+0.00%
FinanceBenchRetrieval,Finance,93.16,93.89,Convey the essential financial data using filing-based analysis,93.89,Convey the essential financial data using filing-based analysis,93.90,Derive pertinent financial data using primary SEC filings,93.90,Derive pertinent financial data using primary SEC filings,93.90,Derive pertinent financial data using primary SEC filings,93.91,Instruct: Gather pertinent financial insights using primary reports Query:,93.95,Gather directly applicable financial data from key SEC documents Query:,+0.79%
FreshStackRetrieval,Code,50.79,50.79,(baseline),50.79,Tap into Stack Overflow for resolution patterns,50.79,Tap into Stack Overflow for resolution patterns,50.79,Tap into Stack Overflow for resolution patterns,50.79,Tap into Stack Overflow for resolution patterns,50.79,Tap into Stack Overflow for resolution patterns,50.79,Tap into Stack Overflow for resolution patterns,+0.00%
HC3FinanceRetrieval,Finance,76.83,77.61,Find comprehensive finance documents that answer the question accurately,78.50,Seek out finance Q&A documents answering the question completely,78.50,Seek out finance Q&A documents answering the question completely,78.50,Seek out finance Q&A documents answering the question completely,78.50,Seek out finance Q&A documents answering the question completely,78.50,Seek out finance Q&A documents answering the question completely,78.73,Find finance Q&A providing complete and relevant answers Query:,+1.90%
HumanEvalRetrieval,Code,99.36,99.77,Identify the appropriate Python function for the problem,99.77,Identify the appropriate Python function for the problem,100.00,Return the easiest Python function solving the problem,100.00,Return the easiest Python function solving the problem,100.00,Return the easiest Python function solving the problem,100.00,Return the easiest Python function solving the problem,100.00,Return the easiest Python function solving the problem,+0.64%
LegalQuAD,Legal,74.63,74.60,(baseline),75.80,Surface directly applicable legal content,75.80,Surface directly applicable legal content,75.80,Surface directly applicable legal content,75.80,Surface directly applicable legal content,75.80,Surface directly applicable legal content,75.80,Surface directly applicable legal content,+1.17%
LegalSummarization,Legal,78.09,78.85,Search using domain-specific language to retrieve accurate documents,78.96,Search for comprehensive legal documents to aid summarization,79.20,Search using domain-specific language to extract comprehensive summaries,79.20,Search using domain-specific language to extract comprehensive summaries,79.20,Search using domain-specific language to extract comprehensive summaries,79.29,Collect legal documents ensuring broad summarization coverage Query:,79.29,Collect legal documents ensuring broad summarization coverage Query:,+1.20%
WikiSQLRetrieval,Code,96.70,99.02,For the database inquiry surface the SQL query that matches,99.02,For the database inquiry surface the SQL query that matches,99.02,For the database inquiry surface the SQL query that matches,99.02,For the database inquiry surface the SQL query that matches,99.02,For the database inquiry surface the SQL query that matches,99.04,Uncover SQL query precisely tailored to inquiry,99.04,Uncover SQL query precisely tailored to inquiry,+2.34%
